player_id,player_display_name,player_name,player_full_name,batting_style,bowling_style,birthdate,country_id,list_team_ids
1,,Rupert Kitzinger,Rupert Charles Kitzinger,Right-hand bat,Right-arm medium-fast,24/03/79,1,"1092,936"
2,,Megan Lovick,Megan Lovick,Right-hand bat,Right-arm medium,17/07/99,1,574
3,,Sophie Luff,Sophie Natasha Luff,Right-hand bat,Right-arm medium,06/12/93,1,"1053,270,425,611"
4,,Molly Rossiter,Molly Beatrice Rossiter,Right-hand bat,Right-arm medium,21/01/03,1,"380,325"
5,,Zulqarnain Haider,Zulqarnain Haider,Right-hand bat,,23/04/86,5,"767,1133,786"
6,,Daniel Zvidzai,Daniel Takudzwa Zvidzai,Right-hand bat,,08/01/99,12,632
7,,Paul Zwartjes,Paul Zwartjes,Right-hand bat,Right-arm medium,01/01/75,16,1108
8,,Zumika Azmi,Zumika Azmi,Right-hand bat,Right-arm offbreak,19/06/98,17,965
9,,Yusuf Anuar,Mohd Yusuf Anuar,Right-hand bat,Right-arm medium,22/10/91,17,343
10,,Yusrina Yaakop,Yusrina Binti Yaakop,Right-hand bat,,24/09/93,17,965
11,,Zuiad Khan,Zuiad Khan,Right-hand bat,Right-arm medium,28/11/91,19,353
12,,Zulfiqar Mansoor,Zulfiqar Mansoor,Right-hand bat,Right-arm offbreak,21/07/76,13,
13,,Somesh Yadav,Somesh Yadav,Right-hand bat,,05/09/95,20,850
14,,Zubair,Zubair,,,27/03/90,8,107
15,,Zahoor Khan,Zahoor Khan,Right-hand bat,Right-arm medium-fast,25/05/89,8,"47,456,1054,197"
16,,Zahid Shah,Zahid Shah,Right-hand bat,Right-arm fast-medium,08/06/80,8,"47,406"
17,,Zaheer Maqsood,Zaheer Maqsood,Right-hand bat,Legbreak,05/05/85,8,"47,1054,796"
18,,Zafri Zafardeen,Mohamed Zafri Zafardeen,Right-hand bat,,16/08/97,8,954
19,,Zain Islam,Mohammad Zain Islam,Left-hand bat,Right-arm medium,21/12/92,19,
20,,Zain Abbas,Zain Abbas,Right-hand bat,Right-arm medium,16/04/86,19,"215,472,353,202,379"
21,,Zafaran Ali,Zafaran Mohamad Ali,Right-hand bat,Right-arm medium,10/10/87,19,353
22,,Yasir Nazir,Yasir Nazir,Right-hand bat,Right-arm medium-fast,25/03/88,17,1194
23,,Ahmad Yahaya,Ahmad Adzim Yahaya,Right-hand bat,Legbreak googly,11/07/94,17,613
24,,Zubair Norazmi,Zubair Norazmi,Right-hand bat,,04/01/93,17,"1004,217"
25,,Zubaidi Zulkifle,Ahmad Zubaidi Zulkifle,Right-hand bat,Right-arm medium,15/02/00,17,217
26,,Zayani Syamimi,Zayani Syamimi Zainuddin,,,10/08/02,17,965
27,,Che Wan Zalati,Che Wan Razian Zalati,Right-hand bat,,19/06/95,17,613
28,,Zaid Asyraf,Zaid Asyraf Bin Nor Azmi,Right-hand bat,,09/09/91,17,249
29,,Affandi Zaibibiana,Affandi Zaibibiana,Right-hand bat,,29/06/94,17,965
30,,Rehmat Zulfiqar,Rehmat Ullah Zulfiqar,Right-hand bat,,23/11/93,16,
31,,Bas Zuiderent,Bastiaan Zuiderent,Right-hand bat,Right-arm medium,03/03/77,16,"642,330,412"
32,,Faisal Zaman,Faisal Zaman,Right-hand bat,Right-arm offbreak,03/03/78,16,
33,,Zeyad Imtiaz,Zeyad Bin Imtiaz,Right-hand bat,Right-arm medium,17/06/84,15,368
34,,Zain Sayed,Zain Ali Sayed,Right-hand bat,Right-arm medium,19/11/90,15,1090
35,,Honest Ziwira,Honest Kuziva Ziwira,Right-hand bat,Right-arm fast-medium,28/04/95,12,
36,,Croman Zinyama,Croman Zinyama,Right-hand bat,,02/06/88,12,157
37,,Peacemore Zimwa,Peacemore Zimwa,Right-hand bat,Legbreak,28/04/93,12,632
38,,Takodzwa Zimhindo,Takodzwa Zimhindo,Left-hand bat,Right-arm offbreak,10/07/96,12,267
39,,Cephas Zhuwao,Cephas Zhuwao,Left-hand bat,Slow left-arm orthodox,15/12/84,12,"957,978,157,326,581"
40,,Brighton Zhawi,Brighton Zhawi,Left-hand bat,Left-arm fast-medium,20/04/92,12,157
