team_id,team_name,team_label
1,Rhodesia,R
2,Hertfordshire,H
3,Derbyshire Cricket Board,DCB
4,Zarai Taraqiati Bank Limited,ZTBL
5,Matabeleland Tuskers,MT
6,KwaZulu-Natal Inland Under-13s,KIU
7,Dhaka Division,DD
8,KwaZulu-Natal Inland Under-15s,KIU
9,Kurunegala Youth Cricket Club Women,KYCCW
10,Cambridge University,CU
11,Mid West Rhinos,MWR
12,Cardiff MCCU,CM
13,Canada Women,CW
14,Sri Lanka Women,SLW
15,Tasmania Under-19s,TU
16,Australia Under-19s,AU
17,Lancashire Cricket Board,LCB
18,New South Wales Country,NSWC
19,Lanka Womens Cricket Club,LWCC
20,United Arab Emirates Under-19s,UAEU
21,Lancashire 2nd XI,L2X
22,Minor Counties,MC
23,Speen Ghar Region,SGR
24,St Kitts and Nevis Patriots,SKaNP
25,Railways,R
26,KwaZulu-Natal Under-13s,KU
27,Assam Under-19s,AU
28,Adelaide Strikers,AS
29,Unicorns A,UA
30,Bahawalpur Stags,BS
31,Lahore Eagles,LE
32,Pakistan International Airlines,PIA
33,Khan Research Labs,KRL
34,Jamaica Under-19s,JU
35,Kandy Cricket Club,KCC
36,Easterns Under-17s,EU
37,Karachi,K
38,Canada Under-19s,CU
39,Baroda,B
40,Nepal,N
41,Warriors,W
42,Saurashtra,S
43,Kurunegala Youth Cricket Club,KYCC
44,Trinidad & Tobago Red Steel,T&TRS
45,South Western Districts,SWD
46,Queensland Country,QC
47,Kandurata,K
48,Saracens Sports Club,SSC
49,Pakistan A,PA
50,Free State Under-19s,FSU
51,Leicestershire,L
52,University Sports South Africa XI,USSAX
53,Melbourne Stars,MS
54,University of New South Wales,UoNSW
55,Pakistan Railways,PR
56,West Indies B,WIB
57,Rio Sports Club,RSC
58,Hyderabad (India),H(
59,Central Districts,CD
60,Rajasthan Royals,RR
61,Puducherry,P
62,Mountaineers,M
63,Zimbabwe Women,ZW
64,Allied Bank,AB
65,United States of America Under-19s,USoAU
66,Philadelphians,P
67,Nalanda College,NC
68,Devon,D
69,Kolkata Knight Riders,KKR
70,Wellington,W
71,Kandy Youth Cricket Club,KYCC
72,St. Thomas College,STC
73,Canterbury,C
74,Sussex 2nd XI,S2X
75,Kent 2nd XI,K2X
76,Pune Warriors,PW
77,Easterns Under-13s,EU
78,Western Province Under-17s,WPU
79,State Bank of Pakistan,SBoP
80,Mpumalanga Under-13s,MU
81,Public Works Department,PWD
82,Quetta Gladiators,QG
83,Goa,G
84,Pakistan Automobiles Corporation,PAC
85,Bengal Under-14s,BU
86,Jammu & Kashmir,J&K
87,Oxford University,OU
88,Bangladesh Under-19s,BU
89,Sri Lanka A,SLA
90,Rawalpindi Rams,RR
91,Essex Under-17s,EU
92,United Bank Limited,UBL
93,Jammu & Kashmir Under-19s,J&KU
94,Essex 2nd XI,E2X
95,Eagles,E
96,Bijapur Bulls,BB
97,Western Australia Under-17s,WAU
98,Queensland Under-19s,QU
99,Rest of Punjab,RoP
100,Gauteng,G
101,Abbottabad Rhinos,AR
102,Himachal Pradesh,HP
103,Sunrisers Hyderabad,SH
104,St Lucia Zouks,SLZ
105,South Australia Second XI,SASX
106,Melbourne Renegades,MR
107,Tripura,T
108,Gauteng Under-19s,GU
109,Boland Under-15s,BU
110,Leeds/Bradford MCCU,LM
111,Western Province Under-15s,WPU
112,Southern Ladies Cricket Club,SLCC
113,Loughborough Marylebone Cricket Club University (England),LMCCU(
114,Nottinghamshire 2nd XI,N2X
115,Central Districts Women,CDW
116,South Australia Women,SAW
117,Quetta Bears,QB
118,Afghanistan,A
119,Surrey Cricket Board,SCB
120,Karnataka Under-19s,KU
121,Netherlands Women,NW
122,Islamabad United,IU
123,South Western Districts Under-15s,SWDU
124,Yorkshire 2nd XI,Y2X
125,Gauteng Under-13s,GU
126,Andhra,A
127,Singha Sports Club,SSC
128,Colts Cricket Club Women,CCCW
129,South Western Districts Women,SWDW
130,Lahore Shalimar,LS
131,Border Under-15s,BU
132,Panadura Sports Club,PSC
133,Gujranwala Cricket Association,GCA
134,Lahore Qalandars,LQ
135,Sikkim,S
136,Malaysia Under-19s,MU
137,Peshawar Cricket Association,PCA
138,Hong Kong Under-19s,HKU
139,Western Australia,WA
140,Bengal Under-16s,BU
141,Orissa,O
142,Cumberland,C
143,Western Australia Second XI,WASX
144,Deccan Chargers,DC
145,Odisha,O
146,Pakistan Women,PW
147,Sydney Thunder,ST
148,Victoria Under-19s,VU
149,Western Australia Under-23s,WAU
150,Zimbabwe Under-13s,ZU
151,Mumbai Under-19s,MU
152,North West Under-15s,NWU
153,Zimbabwe Under-19s,ZU
154,Boland,B
155,Karachi Kings,KK
156,Leicestershire 2nd XI,L2X
157,Trinbago Knight Riders,TKR
158,Western Province Under-19s,WPU
159,Durham 2nd XI,D2X
160,Durham Cricket Board,DCB
161,Lions,L
162,Cornwall,C
163,Seeduwa Raddoluwa Cricket Club,SRCC
164,India Green Women,IGW
165,Victoria Country,VC
166,South Zone,SZ
167,Australia,A
168,Sialkot Cricket Association,SCA
169,Ragama Cricket Club,RCC
170,New South Wales Under-23s,NSWU
171,Bangladesh A,BA
172,Middlesex Cricket Board,MCB
173,Nottinghamshire Cricket Board,NCB
174,Sebastianites Cricket and Athletic Club,SCaAC
175,Mumbai,M
176,Limpopo Under-19s,LU
177,Saurashtra Under-19s,SU
178,Antonians Sports Club,ASC
179,KwaZulu-Natal Under-15s,KU
180,KwaZulu-Natal Inland Under-17s,KIU
181,Tamil Nadu Under-19s,TNU
182,Ireland Under-13s,IU
183,Mashonaland,M
184,Northamptonshire,N
185,Scotland Women,SW
186,Burgher Recreation Club,BRC
187,Bengal Under-19s,BU
188,Pakistan Television,PT
189,Glamorgan,G
190,Rangpur Riders,RR
191,Multan,M
192,Netherlands Under-19s,NU
193,Bihar,B
194,Sydney Sixers,SS
195,University of West Indies Vice Chancellors XI,UoWIVCX
196,Multan Tigers,MT
197,Otago Women,OW
198,Lahore Ravi,LR
199,Pakistan National Shipping Corporation,PNSC
200,Transvaal,T
201,Trinidad & Tobago,T&T
202,Northern Transvaal,NT
203,Faisalabad Wolves,FW
204,New Zealand A,NZA
205,New South Wales,NSW
206,Lahore Division,LD
207,Victoria Under-23s,VU
208,Uttar Pradesh,UP
209,Europeans (India),E(
210,Delhi Under-16s,DU
211,Karachi Blues,KB
212,Griqualand West,GW
213,Sri Lanka Air Force Sports Club,SLAFSC
214,United Arab Emirates Women,UAEW
215,Quetta,Q
216,India,I
217,Limpopo Under-13s,LU
218,Sri Lanka Board Presidents XI,SLBPX
219,Warwickshire Cricket Board,WCB
220,South Australia,SA
221,Western Australia Women,WAW
222,Boland Under-19s,BU
223,Ananda College,AC
224,Hampshire Cricket Board,HCB
225,Easterns,E
226,Royal College,RC
227,Northerns Under-19s,NU
228,North West Under-13s,NWU
229,Border,B
230,Northerns Under-17s,NU
231,Lahore,L
232,Queensland Under-17s,QU
233,Victoria Institute of Sport,VIoS
234,Services,S
235,Multan Sultans,MS
236,Lahore Whites,LW
237,Afghanistan Under-19s,AU
238,Delhi Daredevils,DD
239,Madhya Pradesh Under-16s,MPU
240,Khulna Division,KD
241,Staffordshire,S
242,Karachi Zebras,KZ
243,Cheshire,C
244,Northumberland,N
245,Mpumalanga Under-15s,MU
246,Southern Rocks,SR
247,Moratuwa Sports Club,MSC
248,Zimbabwe A,ZA
249,Rajasthan Under-16s,RU
250,Rajshahi Division,RD
251,South Australia Under-17s,SAU
252,Victoria Under-17s,VU
253,Maharashtra,M
254,Rangpur Division,RD
255,Goa Under-16s,GU
256,Eastern Province,EP
257,Sri Lanka,SL
258,Worcestershire Cricket Board,WCB
259,Western Australia Country,WAC
260,Hyderabad Hawks,HH
261,Nondescripts Cricket Club,NCC
262,Australian Capital Territory,ACT
263,Belagavi Panthers,BP
264,Bengal,B
265,Khan Research Laboratories,KRL
266,Kent Cricket Board,KCB
267,Ruhuna,R
268,Manicaland,M
269,Chhattisgarh,C
270,Wellington Women,WW
271,Hyderabad Under-19s,HU
