match_id,tournament_id,venue_id,match_date,team_1,team_2,toss_winner,toss_decision,player_of_match,match_winner,match_win_by_runs,match_win_by_wickets,highlights_url,match_url,match_description
0,5,31,['2017-04-05'],103,359,359,field,3273,103,35,NA,NA,NA,NA
1,5,27,['2017-04-06'],391,336,391,field,7901,391,NA,7,NA,NA,NA
2,5,13,['2017-04-07'],329,69,69,field,7672,69,NA,10,NA,NA,NA
3,5,9,['2017-04-08'],479,391,479,field,7624,479,NA,6,NA,NA,NA
4,5,23,['2017-04-08'],359,238,359,bat,2475,359,15,NA,NA,NA,NA
5,5,31,['2017-04-09'],103,329,103,field,3949,103,NA,9,NA,NA,NA
6,5,25,['2017-04-09'],336,69,336,field,2938,336,NA,4,NA,NA,NA
7,5,9,['2017-04-10'],479,359,359,bat,2801,479,NA,8,NA,NA,NA
8,5,27,['2017-04-11'],391,238,391,field,2926,238,97,NA,NA,NA,NA
9,5,25,['2017-04-12'],336,103,336,field,2125,336,NA,4,NA,NA,NA
10,5,23,['2017-04-13'],69,479,69,field,9356,69,NA,8,NA,NA,NA
11,5,2,['2017-04-14'],359,336,336,field,9370,336,NA,4,NA,NA,NA
12,5,13,['2017-04-14'],329,391,329,field,7959,329,NA,7,NA,NA,NA
13,5,23,['2017-04-15'],69,103,103,field,3009,69,17,NA,NA,NA,NA
14,5,1,['2017-04-15'],238,479,238,bat,1674,238,51,NA,NA,NA,NA
15,5,25,['2017-04-16'],336,329,336,field,2938,336,NA,6,NA,NA,NA
16,5,2,['2017-04-16'],359,391,359,field,6482,391,27,NA,NA,NA,NA
17,5,1,['2017-04-17'],238,69,238,bat,7283,69,NA,4,NA,NA,NA
18,5,31,['2017-04-17'],103,479,479,field,2139,103,5,NA,NA,NA,NA
19,5,13,['2017-04-18'],329,359,329,field,9246,359,21,NA,NA,NA,NA
20,5,31,['2017-04-19'],103,238,103,bat,2049,103,15,NA,NA,NA,NA
