player_id,player_display_name,player_name,player_full_name,batting_style,bowling_style,birthdate,country_id,list_team_ids
1,,Rupert Kitzinger,Rupert Charles Kitzinger,Right-hand bat,Right-arm medium-fast,24/03/79,1.0,"68,34"
2,,Zulqarnain Haider,Zulqarnain Haider,Right-hand bat,,23/04/86,5.0,"208,40,373"
3,Z Khan,Zahoor Khan,Zahoor Khan,Right-hand bat,Right-arm medium-fast,25/05/89,8.0,"131,300,586,29"
4,,Zahid Shah,Zahid Shah,Right-hand bat,Right-arm fast-medium,08/06/80,8.0,"131,179"
5,,Zaheer Maqsood,Zaheer Maqsood,Right-hand bat,Legbreak,05/05/85,8.0,"131,586,320"
6,,Zain Abbas,Zain Abbas,Right-hand bat,Right-arm medium,16/04/86,19.0,"494,6,548,120"
7,,Zubair Norazmi,Zubair Norazmi,Right-hand bat,,04/01/93,17.0,"462,255"
8,,Bas Zuiderent,Bastiaan Zuiderent,Right-hand bat,Right-arm medium,03/03/77,16.0,"362,503"
9,,Joy Zinto,Joy Jivankumar Zinto,Right-hand bat,Slow left-arm orthodox,07/08/65,15.0,"144,431"
10,,Cephas Zhuwao,Cephas Zhuwao,Left-hand bat,Slow left-arm orthodox,15/12/84,12.0,"10,367,514,291,156"
11,,Zulfiqar Jan,Zulfiqar Jan,Right-hand bat,,10/11/79,5.0,"317,179"
12,,Zulfiqar Haider,Zulfiqar Haider,Right-hand bat,,04/01/67,5.0,"449,373"
13,,Zulfiqar Babar,Zulfiqar Babar,Right-hand bat,Slow left-arm orthodox,10/12/78,5.0,"208,415,170,334,235,212,146"
14,,Zohaib Shera,Zohaib Shera,Right-hand bat,Left-arm medium-fast,18/08/90,5.0,"165,392"
15,,Zohaib Khan,Zohaib Khan,Right-hand bat,Slow left-arm orthodox,20/03/84,5.0,"220,390,557,90"
16,,Maduranga Zoysa,Hannadige Samansiri Maduranga Zoysa,Right-hand bat,Legbreak,27/09/84,6.0,"72,302,4,76"
17,DNT Zoysa,Nuwan Zoysa,Demuni Nuwan Tharanga Zoysa,Left-hand bat,Left-arm fast-medium,13/05/78,6.0,"161,118,9,272,213"
18,,Zohaib Ahmed,Zohaib Ahmed,Right-hand bat,Right-arm medium-fast,02/03/86,5.0,"315,206,29"
19,,Zia-ur-Rehman,Zia-ur-Rehman,Right-hand bat,Legbreak,28/03/75,5.0,"320,557"
20,,Mohamed Zanhar,Mohamed Zanhar,Left-hand bat,Legbreak,04/08/68,6.0,"271,314"
21,,Zia-ul-Haq,Zia-ul-Haq,Right-hand bat,Legbreak,05/12/80,5.0,"495,445"
22,,Zia-ul-Haq,Zia-ul-Haq,Right-hand bat,Left-arm fast-medium,11/12/94,5.0,"187,220,232,334,57,40"
