team_id,team_name,team_label
1,Peshawar Panthers,PP
2,New South Wales Women,NSWW
3,Bengal Under-16s,BU
4,Marylebone Cricket Club,MCC
5,KwaZulu-Natal Inland Under-19s,KIU
6,Khan Research Laboratories,KRL
7,DS Senanayake College,DSC
8,Central Districts,CD
9,West Indies Under-19s,WIU
10,Somerset Cricket Board,SCB
11,Faisalabad Wolves,FW
12,Pakistan Railways,PR
13,Gujarat Lions,GL
14,Quetta,Q
15,Australia Under-16s,AU
16,Limpopo Under-15s,LU
17,Barisal Division,BD
18,Buckinghamshire,B
19,Sheikhupura Cricket Association,SCA
20,United States of America Women,USoAW
21,Northamptonshire Cricket Board,NCB
22,Madhya Pradesh Under-19s,MPU
23,Mis Ainak Region,MAR
24,India A,IA
25,Western Australia Women,WAW
26,Griqualand West Under-19s,GWU
27,Nottinghamshire Cricket Board,NCB
28,Antigua Hawksbills,AH
29,Northern Transvaal,NT
30,Zimbabwe Cricket Academy,ZCA
31,Sri Lanka A,SLA
32,Maharashtra,M
33,Scotland Under-19s,SU
34,Mashonaland A,MA
35,Nottinghamshire,N
36,Australian Capital Territory Under-19s,ACTU
37,Leeds/Bradford MCCU,LM
38,Ireland,I
39,Malaysia Under-19s,MU
40,Queensland Under-17s,QU
41,Free State,FS
42,Ireland Women,IW
43,Goa,G
44,Netherlands,N
45,Allied Bank,AB
46,Western Province Under-17s,WPU
47,Suffolk,S
48,Loughborough Marylebone Cricket Club University (England),LMCCU(
49,Uttar Pradesh Under-16s,UPU
50,Essex Under-15s,EU
51,West Indies,WI
52,England Lions,EL
53,Northerns Under-15s,NU
54,Islamabad Leopards,IL
55,Shakthi Ladies,SL
56,Kandy Youth Cricket Club,KYCC
57,India Under-19s,IU
58,New Zealand Women,NZW
59,Border Under-17s,BU
60,Gloucestershire,G
61,Southern Rocks,SR
62,South Western Districts Under-15s,SWDU
63,Bangladesh A,BA
64,Mashonaland Under-24s,MU
65,Leicestershire Cricket Board,LCB
66,Rio Sports Club,RSC
67,Yorkshire Under-17s,YU
68,Trinidad & Tobago,T&T
69,Orange Free State,OFS
70,Durham,D
71,Wales Minor Counties,WMC
72,Rajasthan Under-16s,RU
73,St. Thomas College,STC
74,North West Under-19s,NWU
75,Western Transvaal,WT
76,Badureliya Sports Club,BSC
77,South Australia Country,SAC
78,Berkshire,B
79,Bihar,B
80,Manipur,M
81,South Zone,SZ
82,South Western Districts Under-19s,SWDU
83,Victoria Under-17s,VU
84,Saurashtra Under-19s,SU
85,Gloucestershire Cricket Board,GCB
86,South Africa Women,SAW
87,Mumbai Indians,MI
88,Himachal Pradesh,HP
89,New South Wales Under-23s,NSWU
90,Karachi Whites,KW
91,Lancashire Cricket Board,LCB
92,Auckland Women,AW
93,Mpumalanga Under-13s,MU
94,Assam Under-19s,AU
95,Victoria Women,VW
96,Essex 2nd XI,E2X
97,North West,NW
98,Trinco-Batti Combined Schools,TCS
99,Australia Women,AW
100,Derbyshire 2nd XI,D2X
101,Kandurata,K
102,Eastern Province,EP
