venue_id,venue_name
1,Nehru Stadium
2,Himachal Pradesh Cricket Association Stadium
3,Wankhede Stadium
4,Eden Gardens
5,JSCA International Stadium Complex
6,Saurashtra Cricket Association Stadium
7,Brabourne Stadium
8,Subrata Roy Sahara Stadium
9,Dubai International Cricket Stadium
10,Shaheed Veer Narayan Singh International Stadium
11,Holkar Cricket Stadium
12,Sheikh Zayed Stadium
13,Sawai Mansingh Stadium
14,M Chinnaswamy Stadium
15,Barabati Stadium
16,Green Park
17,OUTsurance Oval
18,"Vidarbha Cricket Association Stadium, Jamtha"
19,Buffalo Park
20,"Rajiv Gandhi International Stadium, Uppal"
21,Maharashtra Cricket Association Stadium
22,Kingsmead
23,"Punjab Cricket Association Stadium, Mohali"
24,St George's Park
25,"Sardar Patel Stadium, Motera"
26,Sharjah Cricket Stadium
27,Newlands
28,SuperSport Park
29,Dr DY Patil Sports Academy
30,New Wanderers Stadium
31,Feroz Shah Kotla
32,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
33,De Beers Diamond Oval
34,"MA Chidambaram Stadium, Chepauk"
