player_id,team_name,player_name,player_display_name,player_full_name,batting_style,bowling_style,playling_role
1,Chennai Super Kings,MS Dhoni,,Mahendra Singh Dhoni,Right-hand bat,Right-arm medium,Wicketkeeper batsman
2,Chennai Super Kings,Moeen Ali,,Moeen Munir Ali,Left-hand bat,Right-arm offbreak,Batting allrounder
3,Chennai Super Kings,KM Asif,,KM Asif,Right-hand bat,Right-arm medium,Bowler
4,Chennai Super Kings,Bhagath Varma,,Kanumuri Bhagath Varma,Right-hand bat,Right-arm offbreak,
5,Chennai Super Kings,Dwayne Bravo,,Dwayne John Bravo,Right-hand bat,Right-arm medium,Allrounder
6,Chennai Super Kings,Deepak Chahar,,Deepak Lokandersingh Chahar,Right-hand bat,Right-arm medium,Bowler
7,Chennai Super Kings,Sam Curran,,Samuel Matthew Curran,Left-hand bat,Left-arm medium-fast,Allrounder
8,Chennai Super Kings,Faf du Plessis,,Francois du Plessis,Right-hand bat,Legbreak,Middle-order batsman
9,Chennai Super Kings,Ruturaj Gaikwad,,Ruturaj Dashrat Gaikwad,Right-hand bat,Right-arm offbreak,Batsman
10,Chennai Super Kings,Krishnappa Gowtham,,Krishnappa Gowtham,Right-hand bat,Right-arm offbreak,Bowling allrounder
11,Chennai Super Kings,C Hari Nishaanth,,Chezhian Nishaanth,Left-hand bat,Right-arm offbreak,
12,Chennai Super Kings,Josh Hazlewood,,Josh Reginald Hazlewood,Left-hand bat,Right-arm fast-medium,Bowler
13,Chennai Super Kings,Imran Tahir,,Mohammad Imran Tahir,Right-hand bat,Legbreak googly,Bowler
14,Chennai Super Kings,Ravindra Jadeja,,Ravindrasinh Anirudhsinh Jadeja,Left-hand bat,Slow left-arm orthodox,Allrounder
15,Chennai Super Kings,Narayan Jagadeesan,,Narayan Jagadeesan,Right-hand bat,,Opening batsman
16,Chennai Super Kings,Lungi Ngidi,,Lungisani True-man Ngidi,Right-hand bat,Right-arm fast-medium,Bowler
17,Chennai Super Kings,Cheteshwar Pujara,,Cheteshwar Arvind Pujara,Right-hand bat,Legbreak,Top-order batsman
18,Chennai Super Kings,Suresh Raina,,Suresh Kumar Raina,Left-hand bat,Right-arm offbreak,Middle-order batsman
19,Chennai Super Kings,Ambati Rayudu,,Ambati Thirupathi Rayudu,Right-hand bat,Right-arm offbreak,Middle-order batsman
20,Chennai Super Kings,Harishankar Reddy,,Maramreddy Harishankar Reddy,Right-hand bat,Right-arm medium,
21,Chennai Super Kings,Ravisrinivasan Sai Kishore,,Ravisrinivasan Sai Kishore,Left-hand bat,Slow left-arm orthodox,Bowler
22,Chennai Super Kings,Mitchell Santner,,Mitchell Josef Santner,Left-hand bat,Slow left-arm orthodox,Bowling allrounder
