match_id,tournament_id,venue_id,match_date,team_1,team_2,toss_winner,toss_decision,batting_team,chasing_team,player_of_match,match_winner,match_win_by_runs,match_win_by_wickets,highlights_url,match_url,match_description
0,5,21,['2017-04-05'],26,283,283,field,26,283,3273,26,35,NA,NA,NA,NA
1,5,3,['2017-04-06'],488,533,488,field,533,488,7901,488,NA,7,NA,NA,NA
2,5,2,['2017-04-07'],550,52,52,field,550,52,7672,52,NA,10,NA,NA,NA
3,5,34,['2017-04-08'],239,488,239,field,488,239,7624,239,NA,6,NA,NA,NA
4,5,14,['2017-04-08'],283,403,283,bat,283,403,2475,283,15,NA,NA,NA,NA
5,5,21,['2017-04-09'],26,550,26,field,550,26,3949,26,NA,9,NA,NA,NA
6,5,4,['2017-04-09'],533,52,533,field,52,533,2938,533,NA,4,NA,NA,NA
7,5,34,['2017-04-10'],239,283,283,bat,283,239,2801,239,NA,8,NA,NA,NA
8,5,3,['2017-04-11'],488,403,488,field,403,488,2926,403,97,NA,NA,NA,NA
9,5,4,['2017-04-12'],533,26,533,field,26,533,2125,533,NA,4,NA,NA,NA
10,5,15,['2017-04-13'],52,239,52,field,239,52,9356,52,NA,8,NA,NA,NA
11,5,14,['2017-04-14'],283,533,533,field,283,533,9370,533,NA,4,NA,NA,NA
12,5,2,['2017-04-14'],550,488,550,field,488,550,7959,550,NA,7,NA,NA,NA
13,5,15,['2017-04-15'],52,26,26,field,52,26,3009,52,17,NA,NA,NA,NA
14,5,33,['2017-04-15'],403,239,403,bat,403,239,1674,403,51,NA,NA,NA,NA
15,5,4,['2017-04-16'],533,550,533,field,550,533,2938,533,NA,6,NA,NA,NA
16,5,14,['2017-04-16'],283,488,283,field,488,283,6482,488,27,NA,NA,NA,NA
17,5,33,['2017-04-17'],403,52,403,bat,403,52,7283,52,NA,4,NA,NA,NA
18,5,21,['2017-04-17'],26,239,239,field,26,239,2401,26,5,NA,NA,NA,NA
19,5,2,['2017-04-18'],550,283,550,field,283,550,9246,283,21,NA,NA,NA,NA
20,5,21,['2017-04-19'],26,403,26,bat,26,403,2049,26,15,NA,NA,NA,NA
21,5,34,['2017-04-20'],239,533,533,field,239,533,5203,533,NA,8,NA,NA,NA
22,5,15,['2017-04-21'],52,550,550,field,52,550,2969,550,NA,4,NA,NA,NA
23,5,4,['2017-04-22'],533,403,403,field,533,403,1917,533,14,NA,NA,NA,NA
24,5,3,['2017-04-22'],488,26,488,field,26,488,2235,488,NA,6,NA,NA,NA
25,5,2,['2017-04-23'],550,239,550,field,239,550,8127,239,26,NA,NA,NA,NA
26,5,15,['2017-04-23'],52,283,283,field,52,283,7283,52,82,NA,NA,NA,NA
27,5,4,['2017-04-24'],533,488,533,field,488,533,6482,488,3,NA,NA,NA,NA
28,5,3,['2017-04-26'],488,52,52,field,488,52,3009,52,NA,7,NA,NA,NA
29,5,14,['2017-04-27'],283,550,550,field,283,550,7959,550,NA,7,NA,NA,NA
30,5,15,['2017-04-28'],52,403,52,field,403,52,2364,52,NA,7,NA,NA,NA
