player_id,player_display_name,player_name,player_full_name,batting_style,bowling_style,birthdate,country_id,list_team_ids
1,,Rupert Kitzinger,Rupert Charles Kitzinger,Right-hand bat,Right arm Pace,24/03/79,1.0,"464,227"
2,,Zulqarnain Haider,Zulqarnain Haider,Right-hand bat,,23/04/86,5.0,"269,528,314"
3,Z Khan,Zahoor Khan,Zahoor Khan,Right-hand bat,Right arm Pace,25/05/89,8.0,"166,419,332,446"
4,,Zahid Shah,Zahid Shah,Right-hand bat,Right arm Pace,08/06/80,8.0,"166,143"
5,,Zaheer Maqsood,Zaheer Maqsood,Right-hand bat,Right arm wrist spin,05/05/85,8.0,"166,332,543"
6,,Zain Abbas,Zain Abbas,Right-hand bat,Right arm Pace,16/04/86,19.0,"436,585,255,119"
7,,Zubair Norazmi,Zubair Norazmi,Right-hand bat,,04/01/93,17.0,"565,287"
8,,Bas Zuiderent,Bastiaan Zuiderent,Right-hand bat,Right arm Pace,03/03/77,16.0,"151,44"
9,,Joy Zinto,Joy Jivankumar Zinto,Right-hand bat,Left arm Orthodox,07/08/65,15.0,"564,183"
10,,Cephas Zhuwao,Cephas Zhuwao,Left-hand bat,Left arm Orthodox,15/12/84,12.0,"520,158,290,505,496"
11,,Zulfiqar Jan,Zulfiqar Jan,Right-hand bat,,10/11/79,5.0,"275,143"
12,,Zulfiqar Haider,Zulfiqar Haider,Right-hand bat,,04/01/67,5.0,"285,314"
13,,Zulfiqar Babar,Zulfiqar Babar,Right-hand bat,Left arm Orthodox,10/12/78,5.0,"269,376,2,338,569,425,244"
14,,Zohaib Shera,Zohaib Shera,Right-hand bat,Left arm Pace,18/08/90,5.0,"4,59"
15,,Zohaib Khan,Zohaib Khan,Right-hand bat,Left arm Orthodox,20/03/84,5.0,"41,38,490,127"
16,,Maduranga Zoysa,Hannadige Samansiri Maduranga Zoysa,Right-hand bat,Right arm wrist spin,27/09/84,6.0,"24,518,529,437"
17,DNT Zoysa,Nuwan Zoysa,Demuni Nuwan Tharanga Zoysa,Left-hand bat,Left arm Pace,13/05/78,6.0,"301,396,263,560,235"
18,,Zohaib Ahmed,Zohaib Ahmed,Right-hand bat,Right arm Pace,02/03/86,5.0,"172,557,446"
19,,Zia-ur-Rehman,Zia-ur-Rehman,Right-hand bat,Right arm wrist spin,28/03/75,5.0,"543,490"
