team_id,team_name,team_label
1,Tamil Union Cricket and Athletic Club,TUCaAC
2,Australia,A
3,Wellington,W
4,Nottinghamshire,N
5,North West Under-13s,NWU
6,India,I
7,Sunrisers Hyderabad,SH
8,Ananda College,AC
9,Hyderabad (India),H(
10,Bangladesh Women,BW
11,Baroda,B
12,Western Transvaal,WT
13,Easterns Under-15s,EU
14,Kandy Cricket Club,KCC
15,Netherlands Under-13s,NU
16,Marylebone Cricket Club,MCC
17,South Africa,SA
18,Saurashtra,S
19,Hong Kong,HK
20,New South Wales Second XI,NSWSX
21,Norfolk,N
22,Gauteng Under-19s,GU
23,Boland Under-19s,BU
24,Windward Islands,WI
25,Bedfordshire,B
26,New Zealand,NZ
27,Yorkshire,Y
28,Karachi Blues,KB
29,Dhaka Metropolis,DM
30,Himachal Pradesh,HP
31,Quetta Gladiators,QG
32,Border Under-17s,BU
33,Buckinghamshire,B
34,Sinhalese Sports Club,SSC
35,Orange Free State,OFS
36,Northerns Under-13s,NU
37,Gauteng,G
38,Lincolnshire,L
39,Zimbabwe A,ZA
40,Victoria Under-23s,VU
41,Sri Lanka Air Force Sports Club,SLAFSC
42,Barisal Division,BD
43,Ireland,I
44,KwaZulu-Natal Inland,KI
45,British Guiana,BG
46,Boland Under-15s,BU
47,Matabeleland Tuskers,MT
48,Lahore Ravi,LR
49,Derbyshire Cricket Board,DCB
50,Hong Kong Women,HKW
51,Canterbury Women,CW
52,Lancashire 2nd XI,L2X
53,Queensland Women,QW
54,Jamaica Tallawahs,JT
55,Royal College,RC
56,Northern Territory Under-19s,NTU
57,Oxford University,OU
58,British Universities,BU
59,Arunachal Pradesh,AP
60,United Arab Emirates Under-19s,UAEU
61,Guyana,G
62,Northumberland,N
63,South Africa A,SAA
64,Western Province Under-13s,WPU
65,Water and Power Development Authority,WaPDA
66,Mashonaland Eagles,ME
67,Abbottabad Rhinos,AR
68,Chennai Super Kings,CSK
69,Pakistan Under-19s,PU
70,Leicestershire,L
71,Karnataka,K
72,Central Districts,CD
73,Bangladesh,B
74,National Bank of Pakistan,NBoP
75,Sui Northern Gas Pipelines Limited,SNGPL
76,Bengal,B
77,Dhaka Division,DD
78,Burgher Recreation Club,BRC
79,South Africa Academy,SAA
80,Northern Territory,NT
81,Gujarat Lions,GL
82,Jamaica,J
83,United States of America Under-19s,USoAU
84,New South Wales Under-23s,NSWU
85,Royal Challengers Bangalore,RCB
86,Easterns,E
87,Multan Sultans,MS
88,Orissa,O
89,Pakistan A,PA
90,Melbourne Renegades,MR
91,Adelaide Strikers,AS
92,Bloomfield Cricket and Athletic Club,BCaAC
93,Southern Rocks,SR
94,South Africa Under-19s,SAU
95,Zimbabwe Under-17s,ZU
96,Hampshire 2nd XI,H2X
97,Badulla & Monaragala Combine Schools,B&MCS
98,Somerset Cricket Board,SCB
99,Border Under-13s,BU
100,Rajasthan Royals,RR
101,Islamabad,I
102,Moratuwa Sports Club,MSC
103,United States of America,USoA
104,Pakistan,P
105,Melbourne Stars,MS
106,Scotland Women,SW
107,Western Australia Under-23s,WAU
108,Tasmania Second XI,TSX
109,FOG-Seenigama Ladies,FL
110,Sri Lanka Board Presidents XI,SLBPX
111,Uttar Pradesh Under-16s,UPU
112,Andhra Under-19s,AU
113,Oxfordshire,O
114,United States of America Women,USoAW
115,Limpopo Under-17s,LU
116,Kandurata,K
117,South Australia Under-23s,SAU
118,Guyana Amazon Warriors,GAW
119,Services,S
120,Scotland Under-15s,SU
121,Antonians Sports Club,ASC
122,Colts Cricket Club Women,CCCW
123,Pakistan Customs,PC
124,Lahore Division,LD
125,Griqualand West Under-19s,GWU
126,Griqualand West,GW
127,KwaZulu-Natal Inland Under-13s,KIU
128,Glamorgan 2nd XI,G2X
129,Oxford MCCU,OM
130,Nepal,N
131,Western Australia Under-19s,WAU
132,Lahore Eagles,LE
133,Karachi Zebras,KZ
134,Somerset 2nd XI,S2X
135,West Indies Under-19s,WIU
136,Pakistan International Airlines,PIA
137,Ireland Under-15s,IU
138,Derbyshire,D
139,Sheikhupura Cricket Association,SCA
140,Kurunegala Youth Cricket Club,KYCC
141,Multan,M
142,Sri Lanka,SL
143,Afghanistan,A
144,Mashonaland,M
145,Seeduwa Raddoluwa Cricket Club,SRCC
146,Free State Under-15s,FSU
147,Auckland,A
148,Warwickshire,W
149,Rawalpindi,R
150,Ruhuna,R
151,Sydney Sixers,SS
152,Punjab,P
153,Western Province Under-17s,WPU
154,Boost Region,BR
155,India Green Women,IGW
156,Victoria Under-19s,VU
157,Madhya Pradesh Under-16s,MPU
158,Western Province,WP
159,Haryana,H
160,Malaysia Under-19s,MU
161,Bahawalpur,B
162,Sussex Cricket Board,SCB
163,Combined Campuses and Colleges,CCaC
164,Goa Under-16s,GU
165,Malaysia Women,MW
166,Central Districts Women,CDW
167,Mannar-Vavuniya Combined Schools,MCS
168,Australia Women,AW
169,Lahore Lions,LL
170,England Under-19s,EU
171,Gauteng Under-13s,GU
172,Eastern Province Under-15s,EPU
173,Colombo Cricket Club,CCC
174,Rawalpindi Rams,RR
175,Police Sports Club,PSC
176,Hobart Hurricanes,HH
177,Mangalore United,MU
178,Yorkshire Cricket Board,YCB
179,Belagavi Panthers,BP
180,Lancashire,L
181,South Australia Women,SAW
182,Ireland A,IA
183,Hertfordshire,H
184,Sialkot Cricket Association,SCA
185,Mountaineers,M
186,Pakistan National Shipping Corporation,PNSC
187,Durham MCCU,DM
188,Panadura Sports Club,PSC
189,Islamabad United,IU
190,Barbados Tridents,BT
191,Eastern Province Under-17s,EPU
192,Australia Under-19s,AU
193,Matabeleland,M
194,Queensland Under-17s,QU
195,KwaZulu-Natal Under-15s,KU
196,Netherlands Under-17s,NU
197,Sri Lanka Under-19s,SLU
198,Free State Under-13s,FSU
199,Kerala,K
200,Durham 2nd XI,D2X
201,Cambridge MCCU,CM
202,Northern Transvaal,NT
203,Cardiff MCCU,CM
204,Surrey,S
205,Zarai Taraqiati Bank Limited,ZTBL
206,Hyderabad Under-19s,HU
207,Chilaw Marians Cricket Club,CMCC
208,Hyderabad (Pakistan),H(
209,West Indies A,WIA
210,Sri Lanka Army,SLA
211,Victoria Women,VW
212,Tripura,T
213,Warwickshire 2nd XI,W2X
214,Peshawar Zalmi,PZ
215,New South Wales Under-19s,NSWU
216,Limpopo Under-15s,LU
217,Titans,T
218,Zimbabwe Women,ZW
219,Colts Cricket Club,CCC
220,Eastern Province Under-19s,EPU
221,Essex Under-17s,EU
222,Amo Region,AR
223,Shropshire,S
224,Mumbai Under-19s,MU
225,Rajasthan,R
226,England,E
227,Ireland Under-19s,IU
228,KwaZulu-Natal Inland Under-19s,KIU
229,Border,B
230,Victoria,V
231,Zimbabwe Under-19s,ZU
232,Surrey 2nd XI,S2X
233,Delhi Under-19s,DU
234,Ragama Cricket Club,RCC
235,Queensland Country,QC
236,Jammu & Kashmir,J&K
237,Wellington Women,WW
238,Free State Under-19s,FSU
