venue_id,venue_name,venue_location
1,Brabourne Stadium,
2,Buffalo Park,
3,Punjab Cricket Association IS Bindra Stadium,
4,SuperSport Park,
5,Nehru Stadium,
6,Subrata Roy Sahara Stadium,
7,JSCA International Stadium Complex,
8,St George's Park,
9,Sharjah Cricket Stadium,
10,New Wanderers Stadium,
11,"Punjab Cricket Association Stadium, Mohali",
12,Green Park,
13,OUTsurance Oval,
37,"Wankhede Stadium, Mumbai",
15,Holkar Cricket Stadium,
16,Kingsmead,
17,"Sardar Patel Stadium, Motera",Ahmedabad
18,"Vidarbha Cricket Association Stadium, Jamtha",
19,Dubai International Cricket Stadium,
20,Shaheed Veer Narayan Singh International Stadium,
21,Dr DY Patil Sports Academy,
22,Himachal Pradesh Cricket Association Stadium,
23,Sheikh Zayed Stadium,
24,Saurashtra Cricket Association Stadium,
25,Newlands,
26,Maharashtra Cricket Association Stadium,
27,Sawai Mansingh Stadium,
28,Barabati Stadium,
29,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,
11,"Punjab Cricket Association IS Bindra Stadium, Mohali",
31,Rajiv Gandhi International Stadium,
41,"MA Chidambaram Stadium, Chepauk, Chennai",
33,De Beers Diamond Oval,
31,"Rajiv Gandhi International Stadium, Uppal",
41,MA Chidambaram Stadium,
36,Eden Gardens,Kolkata
37,Wankhede Stadium,Mumbai
39,M.Chinnaswamy Stadium,
39,M Chinnaswamy Stadium,Bengaluru
40,Feroz Shah Kotla,Delhi
41,"MA Chidambaram Stadium, Chepauk",Chennai
42,Arun Jaitley Stadium,
